id,message,due_date,days,created_at,updated_at
6,Capital One,2026-05-10 00:00:00,30,2022-02-17 16:16:47,2026-04-10 06:42:33
7,Duolingo,2026-05-07 00:00:00,1,2022-02-17 16:17:31,2026-05-06 06:36:29
9,Pay Discover,2026-05-24 00:00:00,30,2022-02-17 16:56:51,2026-05-03 18:19:06
11,Balance 53 Checking,2026-05-08 00:00:00,30,2022-02-17 16:57:30,2026-04-04 20:12:09
15,CFE - Banorte,2026-06-23 00:00:00,60,2022-02-21 18:54:25,2026-04-23 14:55:19
19,ComEd,2026-05-06 00:00:00,30,2022-07-16 15:11:21,2026-03-20 16:02:12
46,Medicare Payment,2026-05-12 00:00:00,30,2025-07-16 15:40:17,2026-04-10 15:48:59
48,Skyrizy,2026-06-20 00:00:00,90,2025-09-20 20:00:28,2026-03-20 15:45:03
